# Data for individuals that have both genotypes and trait values
# N = 140
# 
# KCF
# 04/06/21
ind_code	Pal	Ste	ol	lin	sat	unsat	lat	lon	bio1	bio2	bio3	bio4	bio5	bio6	bio7	bio8	bio9	bio10	bio11	bio12	bio13	bio14	bio15	bio16	bio17	bio18	bio19	pop_code	usda_pop	deme	block
586817-10	5.80286	1.51433	28.62011	64.0627	7.31719	92.68281	46.66666667	-105.26666667	64	154	32	10842	307	-167	474	175	-80	202	-80	326	67	7	66	160	26	137	26	MT2	586817	north	2
586817-11	4.20117	2.45581	49.90344	43.43958	6.65698	93.34302	46.66666667	-105.26666667	64	154	32	10842	307	-167	474	175	-80	202	-80	326	67	7	66	160	26	137	26	MT2	586817	north	3
586817-12	2.923	0.728	25.708	70.641	3.651	96.349	46.66666667	-105.26666667	64	154	32	10842	307	-167	474	175	-80	202	-80	326	67	7	66	160	26	137	26	MT2	586817	north	3
586817-13	4.445	1.781	21.043	72.731	6.226	93.774	46.66666667	-105.26666667	64	154	32	10842	307	-167	474	175	-80	202	-80	326	67	7	66	160	26	137	26	MT2	586817	north	3
586817-14	3.89868	1.61935	22.37237	72.10961	5.51803	94.48198	46.66666667	-105.26666667	64	154	32	10842	307	-167	474	175	-80	202	-80	326	67	7	66	160	26	137	26	MT2	586817	north	3
586817-17	3.924	0	25.922	70.154	3.924	96.076	46.66666667	-105.26666667	64	154	32	10842	307	-167	474	175	-80	202	-80	326	67	7	66	160	26	137	26	MT2	586817	north	4
586817-2	4.44585	2.35681	37.13441	56.06293	6.80266	93.19734	46.66666667	-105.26666667	64	154	32	10842	307	-167	474	175	-80	202	-80	326	67	7	66	160	26	137	26	MT2	586817	north	1
586817-21	4.786	0	9.495	85.72	4.786	95.215	46.66666667	-105.26666667	64	154	32	10842	307	-167	474	175	-80	202	-80	326	67	7	66	160	26	137	26	MT2	586817	north	4
586817-7	5.394	0.706	29.806	64.094	6.1	93.9	46.66666667	-105.26666667	64	154	32	10842	307	-167	474	175	-80	202	-80	326	67	7	66	160	26	137	26	MT2	586817	north	2
586817-8	4.349	0.679	29.675	65.297	5.028	94.972	46.66666667	-105.26666667	64	154	32	10842	307	-167	474	175	-80	202	-80	326	67	7	66	160	26	137	26	MT2	586817	north	2
586817-9	4.44986	1.51007	34.4924	59.54767	5.95993	94.04007	46.66666667	-105.26666667	64	154	32	10842	307	-167	474	175	-80	202	-80	326	67	7	66	160	26	137	26	MT2	586817	north	2
586870-1	3.127	0.906	30.211	65.756	4.033	95.967	41.1	-97.66666667	102	132	30	10460	314	-115	429	211	-37	234	-37	703	106	13	54	296	53	270	53	NE1	586870	south	1
586870-12	5.29	0.89	19.282	74.537	6.18	93.819	41.1	-97.66666667	102	132	30	10460	314	-115	429	211	-37	234	-37	703	106	13	54	296	53	270	53	NE1	586870	south	3
586870-15	4.107	0.952	19.941	75	5.059	94.941	41.1	-97.66666667	102	132	30	10460	314	-115	429	211	-37	234	-37	703	106	13	54	296	53	270	53	NE1	586870	south	3
586870-19	4.34122	2.30227	27.45024	65.90627	6.64349	93.35651	41.1	-97.66666667	102	132	30	10460	314	-115	429	211	-37	234	-37	703	106	13	54	296	53	270	53	NE1	586870	north	4
586870-2	3.465	1.059	33.798	61.677	4.524	95.475	41.1	-97.66666667	102	132	30	10460	314	-115	429	211	-37	234	-37	703	106	13	54	296	53	270	53	NE1	586870	south	1
586870-20	4.41182	2.09882	33.52256	59.9668	6.51064	93.48936	41.1	-97.66666667	102	132	30	10460	314	-115	429	211	-37	234	-37	703	106	13	54	296	53	270	53	NE1	586870	south	4
586870-21	3.802	0.826	20.798	74.573	4.628	95.371	41.1	-97.66666667	102	132	30	10460	314	-115	429	211	-37	234	-37	703	106	13	54	296	53	270	53	NE1	586870	south	4
586870-6	3.734	1.036	29.18	66.05	4.77	95.23	41.1	-97.66666667	102	132	30	10460	314	-115	429	211	-37	234	-37	703	106	13	54	296	53	270	53	NE1	586870	south	2
592311-1	3.22951	1.56806	53.76876	41.43367	4.79757	95.20243	50.39361111	-108.48027778	36	126	27	11190	262	-190	452	152	-27	174	-113	347	67	14	55	156	44	153	50	SAS2	592311	north	1
592311-12	3.92734	1.91632	40.16346	53.99289	5.84366	94.15635	50.39361111	-108.48027778	36	126	27	11190	262	-190	452	152	-27	174	-113	347	67	14	55	156	44	153	50	SAS2	592311	north	2
592311-15	4.22114	2.04837	30.04187	63.68862	6.26951	93.73049	50.39361111	-108.48027778	36	126	27	11190	262	-190	452	152	-27	174	-113	347	67	14	55	156	44	153	50	SAS2	592311	north	3
592311-4	3.54972	1.5924	45.22001	49.63787	5.14212	94.85788	50.39361111	-108.48027778	36	126	27	11190	262	-190	452	152	-27	174	-113	347	67	14	55	156	44	153	50	SAS2	592311	north	1
592311-5	2.686	0.56	44.129	52.625	3.246	96.754	50.39361111	-108.48027778	36	126	27	11190	262	-190	452	152	-27	174	-113	347	67	14	55	156	44	153	50	SAS2	592311	north	1
592311-7	3.98343	0.50366	46.80435	48.70855	4.48709	95.5129	50.39361111	-108.48027778	36	126	27	11190	262	-190	452	152	-27	174	-113	347	67	14	55	156	44	153	50	SAS2	592311	north	1
592311-9	2.956	0.583	29.143	67.317	3.539	96.46	50.39361111	-108.48027778	36	126	27	11190	262	-190	452	152	-27	174	-113	347	67	14	55	156	44	153	50	SAS2	592311	north	2
592316-1	2.99789	1.12479	48.37571	47.50162	4.12268	95.87733	50.66	-105.66472222	30	125	26	12076	264	-214	478	154	-35	177	-133	368	66	15	52	163	52	159	53	SAS3	592316	north	1
